avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
AustraliaIceDancing.query,416,1475,412,0.263129,0.091672,0.229572,8,32,38,8,32
CaesarsPalace-LasVegas.query,1487,8562,546,0.194958,0.200409,0.156022,8,32,38,8,32
1973Ufo-sightingsInFairlessHillsPa.query,993,5861,982,0.130951,0.109326,0.21198,50,140,228,50,140
Basket.query,1677,10560,1369,0.187763,0.269864,0.18126,28,156,236,28,156
1981-bookAboutGrief-HaroldKushner.query,424,3863,387,0.106784,0.076325,0.105392,12,60,236,12,60
Christmas-Thanksgiving.query,19744,161809,16712,0.404571,3.045127,0.329155,192,452,236,192,452
CaesarSalad-MexicanFood.query,15968,99072,15519,0.277726,1.732392,0.293524,1260,4901,8340,1260,4901
CalgaryWinterGames.query,573,3669,486,0.111532,0.066494,0.150162,24,94,8340,24,94
AudreLorde-AwardWinner.query,563,10549,224,0.099825,0.194164,0.108147,2,20,8340,2,20
