avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
AustraliaIceDancing.query,59721,793079,44296,22.203268,10.223399,21.824154,432,1422,1237,432,1416
CaesarsPalace-LasVegas.query,16081,2515310,5500,19.355229,25.535457,19.1941,20,177,1237,20,177
1973Ufo-sightingsInFairlessHillsPa.query,10278,2534452,9363,12.00543,24.662326,12.852576,125,822,19635,125,822
Basket.query,1114581,7913108,826792,47.534803,104.91769,44.110226,6664,16090,19635,6664,16080
1981-bookAboutGrief-HaroldKushner.query,2289,18527,2068,15.542023,0.615297,16.542846,36,336,19635,36,336
