avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
AustraliaIceDancing.query,29616299,85157009,25307147,275.234861,1008.243429,229.363062,41657,378106,162834,41657,375896
CaesarsPalace-LasVegas.query,8107202,98633287,4170702,102.982747,1005.402412,65.402188,39902,174036,162834,39902,173976
1973Ufo-sightingsInFairlessHillsPa.query,1930159,4252511,1816410,24.365632,43.13528,24.606478,4680,25844,162834,4680,25673
Basket.query,388841148,75596642,374574087,21767.981261,1009.923488,19634.945735,2126704,21233086,162834,2126704,21247191
1981-bookAboutGrief-HaroldKushner.query,224096,4745013,210108,17.816435,52.373672,19.394296,1620,18436,162834,1620,18436
