avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
AustraliaIceDancing.query,769585,5731584,679798,16.063869,63.724346,12.54599,9816,15853,3587,9816,15843
CaesarsPalace-LasVegas.query,39142,3058908,11256,6.16948,32.149402,6.059559,83,526,3587,79,522
1973Ufo-sightingsInFairlessHillsPa.query,33126,1237362,28834,3.571712,11.52699,3.979413,288,1510,17936,288,1494
Basket.query,6394985,11555600,6154289,90.316668,157.044323,118.46359,112896,239210,40040,112896,239210
1981-bookAboutGrief-HaroldKushner.query,5807,116867,5473,4.721367,1.35409,5.263846,324,740,40040,324,740
