avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
AustraliaIceDancing.query,299039,2193062,278704,17.124031,26.355424,19.502949,412,977,789,412,977
CaesarsPalace-LasVegas.query,8693,812559,2366,13.275854,9.974755,14.11695,27,57,789,27,56
1973Ufo-sightingsInFairlessHillsPa.query,4202,68440,3600,9.984593,1.92166,11.414428,102,278,789,102,278
Basket.query,8707417,78775993,8475193,2967.531786,1142.979708,2866.867436,853972,980900,789,853972,980900
1981-bookAboutGrief-HaroldKushner.query,664,13349,608,13.834736,1.3954,14.6819,12,72,789,12,72
