avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
AustraliaIceDancing.query,49599,384881,44600,2.86425,6.049142,2.438915,156,454,242,156,454
CaesarsPalace-LasVegas.query,4834,177975,1420,1.518634,2.244253,1.912276,35,67,242,35,67
1973Ufo-sightingsInFairlessHillsPa.query,2421,24115,2385,0.961955,0.356596,1.103872,72,218,392,72,218
Basket.query,162570,2563769,151596,3.929945,40.29912,3.391418,5964,9460,31524,5964,9460
1981-bookAboutGrief-HaroldKushner.query,670,14209,620,1.179069,0.257622,1.336566,12,72,31524,12,72
