avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time
AustraliaIceDancing.query,5639,40563,4069,5.734453,1.089936,5.801246,48,117,108,48,117
CaesarsPalace-LasVegas.query,2467,101071,736,5.24658,1.628009,4.509872,8,28,108,8,28
1973Ufo-sightingsInFairlessHillsPa.query,1060,11427,1029,3.480508,0.617284,3.752442,50,140,228,50,140
Basket.query,23560,1115347,16634,6.160679,16.701073,6.089393,504,636,4200,504,636
1981-bookAboutGrief-HaroldKushner.query,424,3671,387,3.969474,0.441763,4.076092,12,60,4200,12,60
